link,type,time_ago,headline,title,description,published_time,modified_time,author,social_media
/news/bogdan-grad-better-than-ever-ufc-qatar,Athletes,2 weeks ago,Bogdan Grad Feels Better Than Ever,Bogdan Grad Feels Better Than Ever,Austrian Featherweight Arrives In Doha Ready To Welcome A Hyped Prospect To The UFC – By Handing Him His First Career Defeat,2025-11-19 11:11:52-06:00,2025-11-20 17:43:18-06:00,Simon Head,simonheadsport
/news/where-we-stand-welterweight-division,Athletes,2 weeks ago,Where We Stand: Welterweight Division | November 2025,Where We Stand: Welterweight Division | November 2025,Pound-For-Pound King Islam Makhachev Now Rules The Welterweight Division With Plenty Of Exciting Matchups Waiting In The Wings,2025-11-18 12:42:00-06:00,2025-11-18 11:02:56-06:00,Zac Pacleb,ZacPacleb
/news/fighters-rise-ufc-qatar-riley-horiguchi-almakhan,Athletes,2 weeks ago,Fighters on the Rise | UFC Qatar,Fighters on the Rise | UFC Qatar,Highlighting A Trio Of Talents To Watch This Weekend As The UFC Ventures To Qatar,2025-11-18 12:31:51-06:00,2025-11-20 17:44:06-06:00,E. Spencer Kyte,spencerkyte
/news/where-we-stand-womens-flyweight-division,Athletes,2 weeks ago,Where We Stand: Women's Flyweight Division |…,Where We Stand: Women's Flyweight Division | November 2025,Valentina Shevchenko Added Another Title Defense To Her Resume In New York City With The Question Of Who Comes Next Looming,2025-11-18 12:28:21-06:00,2025-11-18 11:19:43-06:00,Zac Pacleb,ZacPacleb
/news/arman-tsarukyan-out-to-cement-top-contender-status-ufc-qatar,Athletes,2 weeks ago,Arman Tsarukyan Out To Cement Top Contender Status,Arman Tsarukyan Out To Cement Top Contender Status,"Returning Standout Discusses Lightweight Division, Pairing With Dan Hooker",2025-11-18 12:11:00-06:00,2025-11-20 17:44:13-06:00,E. Spencer Kyte,SpencerKyte
/news/fight-by-fight-preview-ufc-fight-night-tsarukyan-vs-hooker-doha-qatar,Fight Coverage,2 weeks ago,Fight By Fight Preview | UFC Qatar,Fight By Fight Preview | UFC Qatar,"Laying Out The Lineup For Our Saturday Debut In Doha, Qatar For UFC Fight Night: Tsarukyan vs Hooker",2025-11-17 13:11:00-06:00,2025-11-20 17:44:21-06:00,E. Spencer Kyte,SpencerKyte
/news/bigger-picture-vechain-ufc-322,Fight Coverage,2 weeks ago,The Bigger Picture | VeChain UFC 322,The Bigger Picture | VeChain UFC 322,An Historic Night At Madison Square Garden Produced Plenty To Discuss,2025-11-16 12:45:47-06:00,2025-11-16 12:44:59-06:00,E. Spencer Kyte,
/news/main-card-results-vechain-ufc-322-della-maddalena-vs-makhachev-event-tonight-recaps-highlights-interviews,Results,2 weeks ago,Main Card Results | VeChain UFC 322: Della Maddalena…,Main Card Results | VeChain UFC 322: Della Maddalena vs Makhachev,"Get Live Results, Watch Post-Fight Interviews With The Main Card Winners And More From VeChain UFC 322: Della Maddalena vs Makhachev, Live From Madison Square Garden On November 15",2025-11-16 00:00:00-06:00,2025-11-17 13:21:55-06:00,E. Spencer Kyte,SpencerKyte
/news/prelim-results-vechain-ufc-322-della-maddalena-vs-makhachev-event-tonight-recaps-highlights-interviews,Results,2 weeks ago,Prelim Results | VeChain UFC 322: Della Maddalena vs…,Prelim Results | VeChain UFC 322: Della Maddalena vs Makhachev,"Get Live Results, Watch Post-Fight Interviews With The Prelim Winners And More From VeChain UFC 322: Della Maddalena vs Makhachev, Live From Madison Square Garden On November 15",2025-11-15 20:50:00-06:00,2025-11-15 22:12:10-06:00,E. Spencer Kyte,SpencerKyte
/news/ufc-tonight-fight-fight-preview-vechain-ufc-322-della-maddalena-vs-makhachev,Fight Coverage,2 weeks ago,UFC Tonight: Fight By Fight Preview | VeChain UFC…,UFC Tonight: Fight By Fight Preview | VeChain UFC 322: Della Maddalena vs Makhachev,Detailing The All-Action Lineup Headed To Madison Square Garden On Saturday,2025-11-15 16:15:00-06:00,2025-11-15 16:03:06-06:00,E. Spencer Kyte,
/news/sean-brady-grindin-vechain-ufc-322,Athletes,3 weeks ago,Sean Brady | Grindin’,Sean Brady | Grindin’,Surging Welterweight Willing To Do Whatever It Takes To Earn Title Shot,2025-11-14 12:00:00-06:00,2025-11-14 12:06:39-06:00,E. Spencer Kyte,
/news/carlos-prates-plans-to-gatecrash-the-welterweight-title-party-vechain-ufc-322,Athletes,3 weeks ago,Carlos Prates Plans To Gatecrash The Welterweight…,Carlos Prates Plans To Gatecrash The Welterweight Title Party,Brazilian Welterweight Contender Says Victory Over Former Champion Leon Edwards Will Put Him In Line For A 2026 Title Shot.,2025-11-14 08:00:00-06:00,2025-11-14 13:44:00-06:00,By Simon Head,simonheadsport
/news/tracy-cortez-my-time-is-now-vechain-ufc-322,Athletes,3 weeks ago,Tracy Cortez | My Time Is Now,Tracy Cortez | My Time Is Now,"Having Battled Her Way Into The Flyweight Top 10, Tracy Cortez Eyes A Statement Win At Madison Square Garden To Prove She’s Ready For A Title Shot.",2025-11-13 16:00:00-06:00,2025-11-13 16:21:11-06:00,Simon Head,simonheadsport
/news/valentina-shevchenko-an-entirely-different-approach-vechain-ufc-322,Athletes,3 weeks ago,Valentina Shevchenko | An Entirely Different Approach,Valentina Shevchenko | An Entirely Different Approach,Flyweight Queen Shares Outlook On Life Ahead Of Potential Legacy-Altering Clash At MSG,2025-11-13 15:44:00-06:00,2025-11-13 15:44:55-06:00,E. Spencer Kyte,spencerkyte
/news/kyle-daukaus-seconds-vechain-ufc-322,Athletes,3 weeks ago,Kyle Daukaus | Seconds,Kyle Daukaus | Seconds,"His Second Child On The Way, Philly Middleweight In Second UFC Stint Aims For Second Straight Win On Saturday",2025-11-13 13:12:00-06:00,2025-11-13 13:12:36-06:00,E. Spencer Kyte,spencerkyte
/news/jack-della-maddalena-the-grateful-underdog-vechain-ufc-322,Athletes,3 weeks ago,Jack Della Maddalena | The Grateful Underdog,Jack Della Maddalena | The Grateful Underdog,"Welterweight Champ Understands Focus On Challenger, Appreciative Of Opportunity Before Him This Weekend",2025-11-13 12:25:16-06:00,2025-11-13 15:27:05-06:00,E. Spencer Kyte,spencerkyte
