file,num_man_paragraphs,num_woman_paragraphs,num_equal_paragraphs,num_genderless_paragraphs,num_tokens,num_paragraphs
news_charles-oliveira-faces-rafael-fiziev-rio-de-janeiro-october-11.txt,3,0,0,1,201,4
news_charles-oliveira-im-going-be-champion-once-again-ufc-317.txt,22,0,0,0,1533,22
news_charles-oliveira-journey-back-to-title-shot-ufc-317.txt,15,0,0,0,1223,15
news_charles-oliveira-open-rematches-against-makhachev-or-holloway.txt,11,0,0,0,777,11
news_chase-hooper-newfound-confidence-ufc-314.txt,17,0,0,5,1116,22
news_chase-hooper-not-done-evolving-ufc-319.txt,10,0,0,0,596,10
news_chicago-prelim-results-du-plessis-chimaev-ufc-319.txt,12,2,1,4,1069,19
news_chidi-njokuani-finding-new-home-welterweight-ufc-nashville.txt,12,0,0,1,710,13
news_chidi-njokuani-is-hitting-his-groove-ufc-vegas-104.txt,21,0,0,10,1027,31
news_chris-curtiss-newfound-confidence-ufc-nashville.txt,9,0,0,4,662,13
news_chris-duncan-aiming-spot-wall-ufc-fight-night-taira-vs-park.txt,23,1,0,1,1606,25
news_chris-duncan-knock-them-down-ufc-323.txt,17,0,0,6,1111,23
news_chris-duncan-scotlands-grateful-warrior-ufc-london.txt,30,0,0,16,1749,46
news_chris-gutierrez-fighting-free-ufc-313-pereira-vs-ankalaev.txt,17,0,0,1,891,18
news_chris-gutierrez-is-not-looking-back-ufc-kansas-city.txt,20,0,0,4,1120,24
news_chris-padilla-blocking-out-the-noise-ufc-fight-night-bonfim-vs-brown.txt,12,0,0,0,835,12
news_christian-leroy-duncan-settled-and-starting-flourish-ufc-vegas-111.txt,17,0,0,6,1479,23
news_cj-vergara-connected-all-dots.txt,10,0,0,1,772,11
news_co-main-event-spotlight-rafael-fiziev-vs-ignacio-bahamondes-ufc-baku.txt,13,0,0,3,1070,16
news_co-main-event-spotlight-ufc-london-blachowicz-ulberg.txt,12,0,0,0,843,12
news_co-main-spotlight-brian-ortega-vs-aljamain-sterling-ufc-shanghai.txt,17,0,0,2,1602,19
news_co-main-spotlight-gaethje-vs-fiziev-ufc-313-pereira-vs-ankalaev.txt,12,0,0,1,980,13
news_co-main-spotlight-ufc-saudi-arabia-michael-venom-page-shara-magomedov.txt,8,0,0,2,610,10
news_coach-conversation-dricus-du-plessis-vs-sean-strickland-2-ufc-312.txt,53,0,0,30,3036,83
news_coach-conversation-merab-dvalishvili-vs-sean-omalley-2.txt,43,0,0,14,2876,57
news_coach-conversation-merab-dvalishvili-vs-umar-nurmagomedov-ufc-311.txt,38,0,0,17,2612,55
news_coach-conversation-ufc-313-pereira-vs-ankalaev.txt,53,1,0,21,2459,75
news_coach-conversation-ufc-315-muhammad-vs-della-maddalena.txt,46,0,0,11,2483,57
news_coach-conversation-ufc-315-shevchenko-vs-fiorot.txt,4,48,0,25,3353,77
news_coach-conversation-ufc-316-pena-vs-harrison.txt,2,42,0,31,2940,75
news_coach-conversation-ufc-317-pantoja-vs-kara-france.txt,32,0,0,16,1962,48
news_coach-conversation-ufc-317-topuria-vs-oliveira.txt,42,0,0,16,1982,58
news_coach-conversation-ufc-318-holloway-vs-poirier-3.txt,42,0,0,31,3323,73
news_coach-conversation-ufc-319-dricus-du-plessis-vs-khamzat-chimaev.txt,34,0,0,16,2135,50
news_coach-conversation-ufc-322-valentina-shevchenko-vs-zhang-weili.txt,0,44,0,16,2572,60
news_coach-conversation-ufc-323-dvalishvili-vs-yan-2.txt,71,0,0,31,4577,102
news_coach-conversation-vechain-ufc-322-della-maddalena-vs-makhachev.txt,39,0,0,20,2503,59
news_coach-conversation-volkanovski-lopes-main-event-ufc-314.txt,53,0,0,15,2697,68
news_coach-conversation-zhang-weili-vs-tatiana-suarez-ufc-312.txt,2,29,0,16,2219,47
news_coach-convo-pantoja-vs-van-co-main-ufc-323.txt,47,1,0,18,2933,66
news_coach-khabib-spotlight-ufc-311-islam-makhachev-umar-nurmagomedov-tagir-ulanbekov.txt,12,0,0,1,710,13
news_cody-brundage-enjoying-process-ufc-atlanta.txt,16,0,0,2,1335,18
